unixtime,time,ppfdred1_3,ppfdblue1_3,ppfd1_3,ppfdred2_3,ppfdblue2_3,ppfd2_3,ppfdred3_3,ppfdblue3_3,ppfd3_3,ppfdred4_3,ppfdblue4_3,ppfd4_3,ppfdred5_3,ppfdblue5_3,ppfd5_3,ppfdred6_3,ppfdblue6_3,ppfd6_3,ppfdred7_3,ppfdblue7_3,ppfd7_3,temp_1_3,humd_1_3,temp_2_3,humd_2_3,temp_3_3,humd_3_3,tmp1_3,tmp2_3,tmp3_3,ec_3,ph_3,watertemp_3,waterlevel_3
1533326400,04-08-18 04:00,101.58333333333333,28.0,129.58333333333334,124.0,47.916666666666664,171.91666666666666,126.5,53.166666666666664,179.66666666666666,124.08333333333333,49.416666666666664,173.5,112.41666666666667,41.166666666666664,153.58333333333334,102.25,46.75,149.0,125.0,46.75,171.75,24.29999923706055,90.64999834696452,24.5,69.00833320617676,24.075000286102295,70.45000076293945,,33.822916666666664,32.369791666666664,6.7772984677272134,1986.8306300610027,24.369583333333335,1.0
1533340800,04-08-18 08:00,100.33333333333333,28.083333333333332,128.41666666666666,124.0,46.833333333333336,170.83333333333334,125.75,52.75,178.5,122.0,48.666666666666664,170.66666666666666,110.33333333333333,40.083333333333336,150.41666666666666,102.25,45.916666666666664,148.16666666666666,123.41666666666667,46.583333333333336,170.0,23.891666253407795,91.28333346048991,24.125000476837158,69.5749994913737,23.64166720708211,71.14999961853027,,33.390625,31.984375,6.780212670507865,1993.484101606099,24.020500000000002,1.0
1533355200,04-08-18 12:00,103.5,27.333333333333332,130.83333333333334,126.66666666666667,46.666666666666664,173.33333333333334,128.66666666666666,52.5,181.16666666666666,125.75,48.75,174.5,114.25,40.166666666666664,154.41666666666666,104.75,46.0,150.75,126.41666666666667,46.666666666666664,173.08333333333334,23.041666666666668,93.99166679382324,23.21666653951009,72.67499923706055,22.86666663487752,73.5500005086263,,30.46875,29.572916666666668,6.792141755683361,2005.7938237917924,23.114500000000003,1.0
1533369600,04-08-18 16:00,101.0,28.363636363636363,129.36363636363637,123.18181818181819,48.0,171.1818181818182,126.27272727272727,53.09090909090909,179.36363636363637,123.54545454545455,49.18181818181818,172.72727272727272,112.18181818181819,40.90909090909091,153.0909090909091,101.63636363636364,47.36363636363637,149.0,123.72727272727273,47.45454545454545,171.1818181818182,24.118182269009676,91.20909049294211,24.345453955910422,69.52727231112394,23.972727168690074,70.94545468417081,,34.03409090909091,32.65340909090909,6.787181091139488,1974.875970871531,23.914636363636365,1.0
1533384000,04-08-18 20:00,101.0,29.0,130.0,123.18181818181819,48.0,171.1818181818182,125.63636363636364,53.54545454545455,179.1818181818182,123.81818181818181,48.90909090909091,172.72727272727272,112.0909090909091,41.18181818181818,153.27272727272728,102.18181818181819,47.63636363636363,149.8181818181818,124.45454545454545,47.72727272727273,172.1818181818182,24.327272068370473,91.41818167946555,24.899999618530273,68.47272768887606,24.309090180830523,70.41818237304688,,34.29545454545455,33.17045454545455,6.785905094831151,2006.680106070527,24.42018181818182,1.0
1533398400,05-08-18 00:00,102.72727272727273,27.636363636363637,130.36363636363637,125.18181818181819,47.27272727272727,172.45454545454547,128.0,52.54545454545455,180.54545454545453,125.0909090909091,48.27272727272727,173.36363636363637,114.0909090909091,40.09090909090909,154.1818181818182,103.9090909090909,46.27272727272727,150.1818181818182,126.45454545454545,46.27272727272727,172.72727272727272,23.809090874411844,92.36363636363636,24.063636259599164,70.7545464255593,23.57272702997381,72.23636419122869,,31.454545454545453,30.59659090909091,6.783983393841894,2007.4992014904697,24.096363636363638,1.0
1533412800,05-08-18 04:00,101.0,28.818181818181817,129.8181818181818,123.0909090909091,47.90909090909091,171.0,126.0909090909091,54.09090909090909,180.1818181818182,123.63636363636364,49.45454545454545,173.0909090909091,112.0909090909091,41.36363636363637,153.45454545454547,102.27272727272727,47.18181818181818,149.45454545454547,124.18181818181819,47.27272727272727,171.45454545454547,24.100000381469727,91.40000013871627,24.55454566261985,68.73636211048473,23.990909056230024,70.68181679465555,,33.85795454545455,32.60227272727273,6.784229457639844,2015.1543531378993,24.26127272727273,1.0
1533427200,05-08-18 08:00,100.0,28.0,128.0,123.0909090909091,47.72727272727273,170.8181818181818,125.27272727272727,52.72727272727273,178.0,122.54545454545455,48.18181818181818,170.72727272727272,110.63636363636364,39.63636363636363,150.27272727272728,101.81818181818181,46.18181818181818,148.0,123.18181818181819,46.81818181818182,170.0,23.727273074063387,91.93636252663352,24.218182303688742,69.48181915283203,23.627273212779652,71.3818192915483,,33.51704545454545,32.44886363636363,6.7903002285397855,2024.2441742243818,23.937272727272727,1.0
1533441600,05-08-18 12:00,102.81818181818181,27.454545454545453,130.27272727272728,125.81818181818181,46.90909090909091,172.72727272727272,127.54545454545455,52.63636363636363,180.1818181818182,124.9090909090909,48.54545454545455,173.45454545454547,113.72727272727273,40.09090909090909,153.8181818181818,104.27272727272727,46.18181818181818,150.45454545454547,125.9090909090909,46.63636363636363,172.54545454545453,22.936363913796164,93.97272699529475,23.12727269259366,72.5909097844904,22.718181783502754,73.82727328213778,,30.6875,29.710227272727273,6.808989135380876,2037.6507534931586,23.011272727272726,1.0
1533456000,05-08-18 16:00,101.0,28.0,129.0,122.9090909090909,48.36363636363637,171.27272727272728,125.36363636363636,53.54545454545455,178.9090909090909,122.9090909090909,49.09090909090909,172.0,112.27272727272727,40.54545454545455,152.8181818181818,102.36363636363636,46.54545454545455,148.9090909090909,123.9090909090909,47.63636363636363,171.54545454545453,23.718182303688742,92.5727275501598,24.190909819169477,69.90909160267223,23.609091325239703,71.58181762695312,,33.60227272727273,32.41477272727273,6.801478278602602,2003.0294777692443,23.727090909090908,1.0
