unixtime,time,ppfdred1_2,ppfdblue1_2,ppfd1_2,ppfdred2_2,ppfdblue2_2,ppfd2_2,ppfdred3_2,ppfdblue3_2,ppfd3_2,ppfdred4_2,ppfdblue4_2,ppfd4_2,ppfdred5_2,ppfdblue5_2,ppfd5_2,ppfdred6_2,ppfdblue6_2,ppfd6_2,ppfdred7_2,ppfdblue7_2,ppfd7_2,temp_1_2,humd_1_2,temp_2_2,humd_2_2,temp_3_2,humd_3_2,tmp1_2,tmp2_2,tmp3_2,oxy_con_2,co2_con_2
1529337600,19-06-18 00:00,1.0,0.0,1.0,1.1818181818181819,0.0,1.1818181818181819,1.0909090909090908,0.0,1.0909090909090908,1.0909090909090908,0.0,1.0909090909090908,1.0,0.0,1.0,1.0,0.0,1.0,1.0909090909090908,0.0,1.0909090909090908,22.809091047807172,71.09090839732777,23.600000381469727,68.5999984741211,22.781818043101918,66.58181901411577,24.085227272727273,24.238636363636363,23.767045454545453,21.040909090909093,347.9336363636364
1529341200,19-06-18 01:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,22.3399995803833,72.33000030517579,23.600000381469727,68.5999984741211,22.299999809265138,67.66999893188476,22.43125,22.525,22.26875,20.947000000000003,342.16499999999996
1529344800,19-06-18 02:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,22.1454551003196,73.56363608620383,23.600000381469727,68.5999984741211,22.109091325239703,68.26363650235263,22.130681818181817,22.21590909090909,21.982954545454547,20.930000000000003,352.09909090909093
1529348400,19-06-18 03:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.879999542236327,74.27999954223633,23.600000381469727,68.5999984741211,21.92999973297119,69.32000122070312,21.93125,22.025,21.8125,21.037,334.04699999999997
1529352000,19-06-18 04:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.76363615556197,73.99090853604403,23.600000381469727,68.5999984741211,21.80909035422585,69.50909146395597,21.789772727272727,21.886363636363637,21.670454545454547,20.89636363636364,344.38454545454545
1529355600,19-06-18 05:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.6454551003196,75.19999972256747,23.600000381469727,68.5999984741211,21.70909135991877,69.73636280406605,21.65909090909091,21.761363636363637,21.5625,20.896363636363635,341.4654545454545
1529359200,19-06-18 06:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.6100004196167,74.26999969482422,23.600000381469727,68.5999984741211,21.590000343322753,69.8499984741211,21.575,21.68125,21.48125,20.871000000000002,347.439
1529362800,19-06-18 07:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.55454566261985,74.22727342085405,23.600000381469727,68.5999984741211,21.545454718849875,70.14545440673828,21.511363636363637,21.613636363636363,21.420454545454547,20.845454545454544,339.5163636363636
1529366400,19-06-18 08:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.5,74.33999938964844,23.600000381469727,68.5999984741211,21.5,70.23999938964843,21.45,21.5625,21.375,20.857999999999997,347.692
1529370000,19-06-18 09:00,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,21.5,74.44545468417081,23.600000381469727,68.5999984741211,21.48181811246005,70.64545440673828,21.4375,21.5625,21.363636363636363,20.858181818181816,365.8209090909091
1529373600,19-06-18 10:00,1.0,0.0,1.0,1.0,0.3,1.3,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7,1.7,1.0,0.0,1.0,21.6100004196167,74.18999938964843,23.600000381469727,68.5999984741211,21.610000228881837,71.26999893188477,21.58125,21.75625,21.53125,20.857,430.304
1529377200,19-06-18 11:00,1.0,0.0,1.0,1.0,0.18181818181818182,1.1818181818181819,1.0,0.09090909090909091,1.0909090909090908,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.18181818181818182,1.1818181818181819,1.0,0.0,1.0,21.700000762939453,75.30000097101384,23.600000381469727,68.5999984741211,21.66363698785955,71.23636488481002,21.676136363636363,21.8125,21.607954545454547,20.916363636363634,428.4927272727273
1529380800,19-06-18 12:00,61.09090909090909,23.90909090909091,85.0,68.54545454545455,25.727272727272727,94.27272727272727,71.9090909090909,29.181818181818183,101.0909090909091,65.54545454545455,27.363636363636363,92.9090909090909,61.45454545454545,27.09090909090909,88.54545454545455,62.72727272727273,26.90909090909091,89.63636363636364,72.18181818181819,30.272727272727273,102.45454545454545,22.354545419866387,70.35454489968039,23.600000381469727,68.5999984741211,22.281818216497246,68.91818167946555,25.363636363636363,25.880681818181817,25.15909090909091,21.03363636363636,368.66636363636366
