unixtime,time,ppfdred1_2,ppfdblue1_2,ppfd1_2,ppfdred2_2,ppfdblue2_2,ppfd2_2,ppfdred3_2,ppfdblue3_2,ppfd3_2,ppfdred4_2,ppfdblue4_2,ppfd4_2,ppfdred5_2,ppfdblue5_2,ppfd5_2,ppfdred6_2,ppfdblue6_2,ppfd6_2,ppfdred7_2,ppfdblue7_2,ppfd7_2,temp_1_2,humd_1_2,temp_2_2,humd_2_2,temp_3_2,humd_3_2,tmp1_2,tmp2_2,tmp3_2,oxy_con_2,co2_con_2
1533312000,04-08-18 00:00,114.5,40.9,155.4,121.8,34.5,156.3,126.7,57.4,184.1,118.3,37.3,155.6,113.6,44.0,157.6,115.1,39.0,154.1,133.8,45.9,179.7,24.700000381469728,99.9000015258789,20.899999618530273,83.80000305175781,24.999999809265137,64.66000022888184,32.94375,33.15,30.33125,18.610000000000003,698.264
1533326400,04-08-18 04:00,114.45454545454545,41.0,155.45454545454547,122.81818181818181,34.90909090909091,157.72727272727272,128.8181818181818,56.36363636363637,185.1818181818182,118.81818181818181,36.81818181818182,155.63636363636363,114.0,43.45454545454545,157.45454545454547,115.0909090909091,39.18181818181818,154.27272727272728,133.45454545454547,46.18181818181818,179.63636363636363,24.899999618530273,99.9000015258789,20.899999618530273,83.80000305175781,25.536363775079902,62.69090964577415,32.9375,33.0625,30.636363636363637,18.717272727272725,705.1409090909091
1533340800,04-08-18 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,23.44545433738015,99.9000015258789,20.899999618530273,83.80000305175781,24.218182130293414,62.490909576416016,23.892045454545453,23.920454545454547,23.295454545454547,18.281818181818185,794.0090909090909
1533355200,04-08-18 12:00,117.0909090909091,39.81818181818182,156.9090909090909,125.45454545454545,32.90909090909091,158.36363636363637,131.0,55.54545454545455,186.54545454545453,120.45454545454545,36.36363636363637,156.8181818181818,116.45454545454545,42.81818181818182,159.27272727272728,117.36363636363636,38.45454545454545,155.8181818181818,135.9090909090909,45.09090909090909,181.0,23.381817904385652,99.9000015258789,20.899999618530273,83.80000305175781,23.718181956898082,68.56363677978516,29.164772727272727,29.369318181818183,27.522727272727273,18.6,714.7572727272728
1533369600,04-08-18 16:00,114.1,41.0,155.1,121.6,34.7,156.3,127.8,56.7,184.5,118.0,37.0,155.0,113.5,43.9,157.4,114.6,39.2,153.8,133.1,46.4,179.5,24.77999954223633,99.9000015258789,20.899999618530273,83.80000305175781,25.560000228881837,64.36000022888183,33.10625,33.2375,30.81875,18.592999999999996,698.45
1533384000,04-08-18 20:00,113.7,41.0,154.7,121.5,34.9,156.4,127.7,56.9,184.6,117.8,37.5,155.3,113.5,43.8,157.3,114.6,39.5,154.1,132.2,46.3,178.5,25.20000076293945,99.9000015258789,20.899999618530273,83.80000305175781,25.84999942779541,64.05000076293945,33.54375,33.63125,31.78125,18.668,747.5049999999999
1533398400,05-08-18 00:00,114.0,41.0,155.0,122.0,34.36363636363637,156.36363636363637,127.63636363636364,56.45454545454545,184.0909090909091,116.63636363636364,37.45454545454545,154.0909090909091,112.63636363636364,44.18181818181818,156.8181818181818,114.36363636363636,39.45454545454545,153.8181818181818,132.1818181818182,46.45454545454545,178.63636363636363,24.66363698785955,99.9000015258789,20.899999618530273,83.80000305175781,24.918181852860883,65.9636362249201,33.13068181818182,33.26704545454545,31.017045454545453,18.61090909090909,754.5536363636364
1533412800,05-08-18 04:00,114.0,41.0,155.0,121.45454545454545,34.90909090909091,156.36363636363637,127.54545454545455,56.54545454545455,184.0909090909091,117.27272727272727,37.45454545454545,154.72727272727272,113.45454545454545,43.81818181818182,157.27272727272728,114.45454545454545,39.0,153.45454545454547,132.1818181818182,46.36363636363637,178.54545454545453,24.899999618530273,99.9000015258789,20.899999618530273,83.80000305175781,25.490909056230024,63.90909125588157,33.01704545454545,33.0625,30.625,18.548181818181817,756.9136363636363
1533427200,05-08-18 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,23.439999771118163,99.9000015258789,20.899999618530273,83.80000305175781,24.19000072479248,63.19000015258789,23.625,23.6875,23.3,18.270999999999997,849.875
1533441600,05-08-18 12:00,116.1,40.2,156.3,124.1,33.1,157.2,129.4,55.4,184.8,119.4,36.6,156.0,115.2,43.0,158.2,116.7,38.3,155.0,133.9,45.7,179.6,23.39000015258789,99.9000015258789,20.899999618530273,83.80000305175781,23.60999984741211,69.19000015258788,29.64375,29.80625,27.73125,18.523999999999997,735.509
