unixtime,time,ppfdred1,ppfdblue1,ppfd1,ppfdred2,ppfdblue2,ppfd2,ppfdred3,ppfdblue3,ppfd3,ppfdred4,ppfdblue4,ppfd4,ppfdred5,ppfdblue5,ppfd5,ppfdred6,ppfdblue6,ppfd6,ppfdred7,ppfdblue7,ppfd7,temp_1,humd_1,temp_2,humd_2,temp_3,humd_3,tmp1,tmp2,tmp3,flowrate,temp_a,humd_a
1529337600,19-06-18 00:00,4.75,2.0,6.75,4.916666666666667,2.0,6.916666666666667,5.0,2.9166666666666665,7.916666666666667,5.0,2.5,7.5,4.25,2.0833333333333335,6.333333333333333,5.583333333333333,2.0,7.583333333333333,5.0,3.0,8.0,23.31666660308838,68.42499987284343,23.050000031789143,67.45833269755046,23.391666412353516,67.69166692097981,24.276041666666668,24.463541666666668,24.432291666666668,0.2275,22.583333333333332,66.64999834696452
1529341200,19-06-18 01:00,5.0,2.0,7.0,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,22.618182095614348,70.40000013871627,22.354545073075727,70.17272741144353,22.5,70.67272741144353,22.261363636363637,22.443181818181817,22.363636363636363,0.23272727272727278,22.22727290066806,67.76363580877131
1529344800,19-06-18 02:00,5.0,2.4166666666666665,7.416666666666667,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,22.324999650319416,71.38333257039388,22.108333746592205,70.69166692097981,22.258333206176758,71.23333358764648,21.942708333333332,22.130208333333332,22.052083333333332,0.2325,22.041666825612385,68.3000005086263
1529348400,19-06-18 03:00,5.0,2.6666666666666665,7.666666666666667,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,22.200000603993733,71.68333307902019,21.924999713897705,71.40833218892415,22.050000190734863,71.6916675567627,21.6875,21.885416666666668,21.822916666666668,0.21,21.791666507720947,68.77500025431316
1529352000,19-06-18 04:00,5.0,2.5,7.5,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,22.091667016347248,71.80833180745442,21.774999618530273,71.77500025431316,21.891666253407795,72.11666679382324,21.515625,21.703125,21.65625,0.22583333333333336,21.61666711171468,69.41666666666667
1529355600,19-06-18 05:00,5.0,2.75,7.75,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,21.958333174387615,72.5749994913737,21.633333841959637,72.20000012715657,21.8166659673055,72.79999987284343,21.401041666666668,21.604166666666668,21.546875,0.22333333333333336,21.5,69.7083314259847
1529359200,19-06-18 06:00,5.0,2.5454545454545454,7.545454545454546,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,21.881817730990324,72.89090936834162,21.536363775079902,72.75454573197798,21.73636384443803,73.39091075550427,21.34659090909091,21.551136363636363,21.488636363636363,0.24909090909090906,21.472727168690074,69.9181830666282
1529362800,19-06-18 07:00,5.0,2.9166666666666665,7.916666666666667,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,21.833332697550457,73.13333384195964,21.483333269755047,72.99166552225749,21.633333841959637,73.67499923706055,21.302083333333332,21.5,21.4375,0.2191666666666667,21.399999618530273,70.0999984741211
1529366400,19-06-18 08:00,5.0,3.0,8.0,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,21.79166603088379,73.62500127156575,21.399999618530273,73.4499994913737,21.591667016347248,74.1999994913737,21.25,21.463541666666668,21.411458333333332,0.2125,21.399999618530273,70.30833307902019
1529370000,19-06-18 09:00,5.0,3.0,8.0,5.0,2.0,7.0,5.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,8.0,6.0,2.0,8.0,5.0,3.0,8.0,21.758333206176758,73.64166577657063,21.399999618530273,73.87500063578288,21.575000286102295,74.99999936421712,21.25,21.46875,21.432291666666668,0.2183333333333333,21.399999618530273,70.57500012715657
1529373600,19-06-18 10:00,5.0,3.0,8.0,5.0,2.9166666666666665,7.916666666666667,5.0,3.0833333333333335,8.083333333333334,5.0,3.0,8.0,5.0,3.0,8.0,5.25,2.9166666666666665,8.166666666666666,5.0,3.0833333333333335,8.083333333333334,21.79166618982951,74.96666717529297,21.424999713897705,75.9000015258789,21.61666711171468,76.3166675567627,21.526041666666668,21.729166666666668,21.651041666666668,0.2316666666666667,21.65000009536743,71.54166730244954
1529377200,19-06-18 11:00,5.0,2.9166666666666665,7.916666666666667,5.0,2.0833333333333335,7.083333333333333,5.0,3.0833333333333335,8.083333333333334,5.0,3.0,8.0,5.0,3.0,8.0,5.0,2.0833333333333335,7.083333333333333,5.0,3.0833333333333335,8.083333333333334,21.891666253407795,74.60000101725261,21.5,75.98333231608073,21.700000762939453,76.23333358764648,21.651041666666668,21.854166666666668,21.796875,0.245,21.85833279291789,70.69999885559082
