unixtime,time,ppfdred1,ppfdblue1,ppfd1,ppfdred2,ppfdblue2,ppfd2,ppfdred3,ppfdblue3,ppfd3,ppfdred4,ppfdblue4,ppfd4,ppfdred5,ppfdblue5,ppfd5,ppfdred6,ppfdblue6,ppfd6,ppfdred7,ppfdblue7,ppfd7,temp_1,humd_1,temp_2,humd_2,temp_3,humd_3,tmp1,tmp2,tmp3,flowrate,temp_a,humd_a
1533139200,02-08-18 00:00,141.0,5.0,146.0,152.08333333333334,4.916666666666667,157.0,109.0,40.0,149.0,175.33333333333334,15.666666666666666,191.0,157.75,20.083333333333332,177.83333333333334,161.0,0.0,161.0,166.5,18.166666666666668,184.66666666666666,25.583333333333332,60.00833320617676,25.10000038146973,60.00833288828532,25.5,60.88333320617676,30.171875,30.682291666666668,31.489583333333332,0.2891666666666666,23.399999618530273,63.833333333333336
1533153600,02-08-18 04:00,141.0,5.181818181818182,146.1818181818182,152.0909090909091,5.090909090909091,157.1818181818182,109.0,40.0,149.0,175.1818181818182,15.363636363636363,190.54545454545453,157.45454545454547,20.0,177.45454545454547,161.36363636363637,0.0,161.36363636363637,165.9090909090909,18.636363636363637,184.54545454545453,25.390908674760297,60.46363657171076,25.09090943769975,59.8909086747603,25.29999923706055,61.24545461481268,29.84090909090909,30.397727272727273,31.25,0.28272727272727277,23.29999923706055,64.07272616299716
1533168000,02-08-18 08:00,0.0,0.0,0.0,0.0,0.0,0.0,109.0,40.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.125000476837158,68.33333333333333,23.075000286102295,66.49166679382324,23.02500009536743,69.58333269755046,22.203125,22.416666666666668,22.213541666666668,0.24999999999999997,22.424999713897705,66.52499961853027
1533182400,02-08-18 12:00,144.41666666666666,6.916666666666667,151.33333333333334,155.5,7.833333333333333,163.33333333333334,141.75,21.833333333333332,163.58333333333334,178.0,18.25,196.25,160.25,22.25,182.5,172.08333333333334,0.5,172.58333333333334,170.25,19.916666666666668,190.16666666666666,24.141666571299236,69.02500089009602,23.783333619435627,67.54166666666667,23.900000254313152,71.21666781107585,27.583333333333332,28.083333333333332,28.661458333333332,0.24999999999999997,22.858333587646484,68.59166717529297
1533196800,02-08-18 16:00,141.75,7.0,148.75,152.0,7.0,159.0,164.0,8.0,172.0,175.75,18.0,193.75,158.66666666666666,22.416666666666668,181.08333333333334,167.25,0.16666666666666666,167.41666666666666,166.5,21.083333333333332,187.58333333333334,26.200000127156574,60.32500012715658,25.64166720708211,60.0,25.949999809265137,61.57500012715658,30.645833333333332,31.458333333333332,32.1875,0.25499999999999995,24.125000317891438,63.43333307902018
1533211200,02-08-18 20:00,142.0,7.25,149.25,153.0,7.083333333333333,160.08333333333334,163.33333333333334,7.916666666666667,171.25,176.25,17.833333333333332,194.08333333333334,159.16666666666666,22.083333333333332,181.25,167.91666666666666,0.0,167.91666666666666,167.91666666666666,20.666666666666668,188.58333333333334,26.00833336512248,58.72500069936117,25.733333587646484,58.19166628519694,26.0,58.95833396911621,30.723958333333332,31.171875,31.796875,0.24500000000000002,23.874999523162842,62.15833314259847
1533225600,03-08-18 00:00,141.0,7.0,148.0,152.0,7.0,159.0,162.0,8.0,170.0,175.0,18.0,193.0,144.0,26.0,170.0,163.0,0.0,163.0,166.0,31.0,197.0,25.899999618530273,59.0,25.29999923706055,58.79999923706055,25.899999618530273,58.79999923706055,30.9375,31.3125,31.9375,0.24,23.5,63.4000015258789
1533240000,03-08-18 04:00,141.0,7.0,148.0,152.0,7.0,159.0,162.0,8.0,170.0,175.0,18.0,193.0,144.0,26.0,170.0,163.0,0.0,163.0,166.0,31.0,197.0,25.899999618530273,59.0,25.29999923706055,58.79999923706055,25.899999618530273,58.79999923706055,30.9375,31.3125,31.9375,0.24,23.5,63.4000015258789
1533254400,03-08-18 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.372727654197,67.82727189497514,23.281818389892578,65.77272761951794,23.254545385187324,68.91818133267489,22.1875,22.386363636363637,22.170454545454547,0.2645454545454546,22.42727210304954,66.64545475352894
1533268800,03-08-18 12:00,144.0,7.666666666666667,151.66666666666666,154.66666666666666,6.0,160.66666666666666,164.91666666666666,7.083333333333333,172.0,177.25,17.916666666666668,195.16666666666666,160.5,21.333333333333332,181.83333333333334,172.83333333333334,0.0,172.83333333333334,169.5,19.916666666666668,189.41666666666666,23.88333336512248,67.45833206176758,23.766666571299236,65.68333307902019,23.791666666666668,68.54999987284343,27.807291666666668,28.083333333333332,29.0,0.25833333333333336,22.425000190734863,68.05000114440918
1533283200,03-08-18 16:00,141.16666666666666,8.333333333333334,149.5,152.0,6.916666666666667,158.91666666666666,162.25,8.0,170.25,175.83333333333334,18.416666666666668,194.25,158.66666666666666,22.416666666666668,181.08333333333334,168.41666666666666,0.0,168.41666666666666,167.33333333333334,20.666666666666668,188.0,25.600000381469727,61.27500025431315,25.266666412353516,60.649999936421715,25.516666730244953,61.983333905537926,30.28125,30.890625,31.619791666666668,0.25833333333333336,23.608333746592205,64.5
