panel1area
9.01
9.5
9.31
9.07
9.46
9.46
9.06
9.25
9.55
9.8
10.28
10.15
11.26
10.9
10.9
10.74
10.74
10.68
10.83
10.46
11.04
11.16
11.06
11.06
12.04
12.04
12.04
12.04
12.04
12.04
12.04
12.04
12.04
12.04
12.22
11.51
12.14
12.05
11.98
12.07
12.43
12.43
12.55
12.65
12.65
12.69
12.8
13.21
12.89
13.82
13.82
13.74
13.91
14.66
14.57
14.76
15.01
15.58
15.58
15.73
16.57
16.4
15.17
16.37
16.37
16.26
16.83
16.9
16.9
17.08
17.48
17.48
17.9
18.21
18.56
18.69
18.94
19.34
19.34
18.86
19.43
19.64
19.8
20.13
21.67
21.96
22.02
22.02
22.13
22.2
22.35
22.61
22.81
22.98
23.18
23.78
23.78
24.06
24.47
24.82
25.02
25.14
24.82
25.38
25.95
25.95
26.97
27.18
27.36
27.29
27.67
27.92
27.92
28.18
28.75
28.84
29.21
29.39
29.59
29.89
29.89
30.56
30.94
31.7
31.43
31.32
31.81
32.52
32.52
32.96
33.3
33.53
34.61
34.74
34.74
34.67
34.74
34.74
35.24
35.62
35.99
36.66
36.66
37.72
38.02
38.98
38.98
40.44
40.44
40.44
41.26
41.47
42.2
42.64
43.05
44.12
43.86
43.86
44.41
45.1
45.84
46.8
47.59
48.63
48.5
48.5
49.46
49.41
51.36
52.38
53.02
53.81
53.81
54.72
55.99
56.03
57.75
58.58
59.28
60.33
61.72
61.72
62.87
62.87
63.75
64.67
65.45
66.02
67.14
67.14
67.88
69.06
70.14
71.42
72.4
74.14
74.14
76.08
76.08
77.04
78.21
79.94
80.36
82.73
83.49
84.46
84.46
85.5
86.07
86.77
88.33
88.41
89.31
91.06
91.06
89.06
89.53
91.85
91.32
94.7
94.7
95.37
97.84
99.53
99.53
100.56
101.59
103.25
106.11
105.7
108.12
108.93
110.72
110.72
111.47
111.9
113.93
115.76
114.72
117.5
118.38
118.38
118.75
120.11
124.39
125.75
125.64
126.43
128.68
128.68
129.69
130.22
132.58
133.38
134.11
134.95
135.16
136.48
136.48
136.47
137.27
138.21
139.66
141.01
142.55
145.04
145.04
146.85
148.72
150.42
154.04
154.98
154.54
154.54
155.78
160.53
159.89
161.1
161.32
162.5
162.19
164.76
164.76
165.63
166.76
168.43
171.34
171.34
171.7
175.56
174.14
174.14
177.54
204.74
185.43
198.52
194.29
130.25
115.84
110.08
110.08
209.07
207.34
234.6
208.26
208.26
181.46
181.46
192.06
192.06
193.57
230.78
221.54
205.33
232.28
227.92
191.9
191.9
117.86
95.49
108.89
95.33
62.1
60.72
108.53
106.43
106.43
129.31
146.93
143.12
174.05
181.05
181.88
118.9
126.32
126.32
148.95
166.59
158.19
123.04
130.79
134.91
134.91
70.25
63.13
63.69
44.34
51.0
95.3
159.38
159.38
127.46
146.04
147.94
163.17
130.1
130.1
139.81
159.73
142.6
142.6
131.02
125.65
126.08
123.95
111.34
86.91
73.64
61.52
61.52
61.69
58.0
83.08
116.06
114.24
115.1
132.6
145.25
145.25
138.51
148.97
145.64
153.36
135.88
140.66
140.66
135.2
140.01
151.7
147.08
91.24
87.95
87.95
77.55
72.53
68.83
126.8
127.96
142.42
138.95
138.95
138.46
138.46
118.29
128.99
82.55
82.55
82.55
82.55
82.55
82.55
82.55
82.55
82.55
82.55
64.35
63.61
58.44
58.4
58.4
108.02
108.02
99.59
116.53
118.49
120.3
120.07
120.07
121.65
127.88
133.72
131.11
103.27
123.0
123.0
116.55
111.32
105.83
67.2
62.2
63.76
63.9
60.03
60.03
63.6
90.08
99.76
100.18
103.76
102.5
101.46
101.46
109.18
111.58
111.58
103.56
94.41
91.8
92.48
90.61
90.61
94.53
80.14
66.11
65.03
60.74
57.88
56.98
56.98
91.05
91.05
93.42
91.71
91.91
92.97
86.74
88.1
89.52
89.52
87.78
