unixtime,time,ppfdred1,ppfdblue1,ppfd1,ppfdred2,ppfdblue2,ppfd2,ppfdred3,ppfdblue3,ppfd3,ppfdred4,ppfdblue4,ppfd4,ppfdred5,ppfdblue5,ppfd5,ppfdred6,ppfdblue6,ppfd6,ppfdred7,ppfdblue7,ppfd7,temp_1,humd_1,temp_2,humd_2,temp_3,humd_3,tmp1,tmp2,tmp3,flowrate,temp_a,humd_a,ppfdred1_2,ppfdblue1_2,ppfd1_2,ppfdred2_2,ppfdblue2_2,ppfd2_2,ppfdred3_2,ppfdblue3_2,ppfd3_2,ppfdred4_2,ppfdblue4_2,ppfd4_2,ppfdred5_2,ppfdblue5_2,ppfd5_2,ppfdred6_2,ppfdblue6_2,ppfd6_2,ppfdred7_2,ppfdblue7_2,ppfd7_2,temp_1_2,humd_1_2,temp_2_2,humd_2_2,temp_3_2,humd_3_2,tmp1_2,tmp2_2,tmp3_2,oxy_con_2,co2_con_2,ppfdred1_3,ppfdblue1_3,ppfd1_3,ppfdred2_3,ppfdblue2_3,ppfd2_3,ppfdred3_3,ppfdblue3_3,ppfd3_3,ppfdred4_3,ppfdblue4_3,ppfd4_3,ppfdred5_3,ppfdblue5_3,ppfd5_3,ppfdred6_3,ppfdblue6_3,ppfd6_3,ppfdred7_3,ppfdblue7_3,ppfd7_3,temp_1_3,humd_1_3,temp_2_3,humd_2_3,temp_3_3,humd_3_3,tmp1_3,tmp2_3,tmp3_3,ec_3,ph_3,watertemp_3,waterlevel_3
1533139200,02-08-18 00:00,141.0,5.0,146.0,152.08333333333334,4.916666666666667,157.0,109.0,40.0,149.0,175.33333333333337,15.666666666666664,191.0,157.75,20.08333333333333,177.83333333333337,161.0,0.0,161.0,166.5,18.166666666666668,184.66666666666663,25.58333333333333,60.00833320617676,25.10000038146973,60.008332888285324,25.5,60.88333320617676,30.171875,30.68229166666667,31.48958333333333,0.2891666666666666,23.399999618530273,63.83333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533225600,03-08-18 00:00,141.0,7.0,148.0,152.0,7.0,159.0,162.0,8.0,170.0,175.0,18.0,193.0,144.0,26.0,170.0,163.0,0.0,163.0,166.0,31.0,197.0,25.899999618530273,59.0,25.29999923706055,58.79999923706055,25.899999618530273,58.79999923706055,30.9375,31.3125,31.9375,0.24,23.5,63.4000015258789,114.8,40.8,155.6,123.8,34.1,157.9,129.7,56.1,185.8,118.6,37.0,155.6,114.2,43.4,157.6,115.4,39.1,154.5,134.1,45.9,180.0,24.899999618530273,99.9000015258789,20.899999618530273,83.80000305175781,25.320000076293944,65.14000015258789,32.96875,33.09375,30.6625,18.722,797.395,110.0,26.0,136.0,131.0,45.0,176.0,132.0,51.0,183.0,127.0,47.0,174.0,121.0,41.0,162.0,109.0,45.0,154.0,133.0,44.0,177.0,23.399999618530273,93.5999984741211,23.60000038146973,72.9000015258789,23.20000076293945,73.4000015258789,,24.0,23.9375,6.753735694479455,1937.0019298806726,24.375,1.0
1533312000,04-08-18 00:00,141.0,8.25,149.25,152.08333333333334,6.916666666666668,159.0,162.0,8.0,170.0,175.25,18.08333333333333,193.33333333333331,158.25,22.16666666666667,180.41666666666663,169.33333333333334,0.0,169.33333333333334,167.25,20.33333333333333,187.58333333333331,25.491666634877518,59.875,25.10000038146973,59.48333358764648,25.51666673024495,59.84999974568686,30.19270833333333,30.71354166666667,31.54166666666667,0.2658333333333333,23.29999923706055,63.908334096272796,114.5,40.9,155.4,121.8,34.5,156.3,126.7,57.4,184.1,118.3,37.3,155.6,113.6,44.0,157.6,115.1,39.0,154.1,133.8,45.9,179.7,24.70000038146973,99.9000015258789,20.899999618530273,83.80000305175781,24.999999809265137,64.66000022888184,32.94375,33.15,30.33125,18.610000000000007,698.2639999999999,103.41666666666669,27.66666666666667,131.08333333333334,125.91666666666669,47.16666666666666,173.08333333333337,128.33333333333334,52.25,180.58333333333331,125.58333333333331,48.5,174.08333333333337,114.41666666666669,39.75,154.16666666666666,104.75,45.75,150.5,126.75,46.16666666666666,172.91666666666663,23.93333339691162,91.84166717529295,24.074999809265137,70.41666857401529,23.70833333333333,71.40000025431316,,31.18229166666667,30.20833333333333,6.774389259792893,1956.7065111881968,24.22366666666667,1.0
1533398400,05-08-18 00:00,140.0,8.0,148.0,152.08333333333334,6.916666666666668,159.0,161.25,8.333333333333334,169.58333333333334,173.91666666666663,18.5,192.41666666666663,157.08333333333334,22.16666666666667,179.25,168.5,0.16666666666666666,168.66666666666666,165.5,21.25,186.75,25.41666634877523,60.06666660308838,25.050000190734863,59.97499974568686,25.433333079020187,60.108333269755036,30.4375,30.77604166666667,31.33854166666667,0.26583333333333337,23.20000076293945,64.33333587646484,114.0,41.0,155.0,122.0,34.36363636363637,156.36363636363637,127.63636363636364,56.45454545454545,184.0909090909091,116.63636363636364,37.45454545454545,154.0909090909091,112.63636363636364,44.18181818181818,156.8181818181818,114.36363636363636,39.45454545454545,153.8181818181818,132.1818181818182,46.45454545454545,178.63636363636363,24.66363698785955,99.9000015258789,20.899999618530273,83.80000305175781,24.918181852860883,65.9636362249201,33.13068181818182,33.26704545454545,31.01704545454545,18.61090909090909,754.5536363636363,102.72727272727272,27.63636363636364,130.36363636363637,125.1818181818182,47.27272727272727,172.45454545454547,128.0,52.54545454545455,180.54545454545453,125.0909090909091,48.27272727272727,173.36363636363637,114.0909090909091,40.09090909090909,154.1818181818182,103.9090909090909,46.27272727272727,150.1818181818182,126.45454545454544,46.27272727272727,172.72727272727272,23.809090874411844,92.36363636363636,24.063636259599164,70.7545464255593,23.57272702997381,72.23636419122869,,31.45454545454545,30.59659090909091,6.783983393841893,2007.4992014904694,24.09636363636364,1.0
1533484800,06-08-18 00:00,140.0,8.0,148.0,152.0,6.916666666666668,158.91666666666666,160.5,8.25,168.75,172.75,18.58333333333333,191.33333333333331,156.41666666666666,22.33333333333333,178.75,168.83333333333334,0.0,168.83333333333334,163.66666666666666,21.33333333333333,185.0,24.90833298365275,61.72500006357829,24.54166682561239,61.616666475931794,24.958333174387608,61.883333524068206,29.80729166666667,30.15104166666667,30.77604166666667,0.25666666666666665,22.75,65.90833409627278,113.8181818181818,40.90909090909091,154.72727272727272,121.72727272727272,34.0,155.72727272727272,126.8181818181818,56.09090909090909,182.9090909090909,116.9090909090909,37.18181818181818,154.0909090909091,112.54545454545456,43.81818181818182,156.36363636363637,114.1818181818182,39.09090909090909,153.27272727272728,132.0,46.27272727272727,178.27272727272728,24.190909298983488,99.9000015258789,20.899999618530273,83.80000305175781,24.53636360168457,67.60000055486506,32.55113636363637,32.75568181818182,30.09090909090909,18.611818181818183,754.989090909091,102.72727272727272,27.63636363636364,130.36363636363637,125.1818181818182,47.27272727272727,172.45454545454547,128.0,52.54545454545455,180.54545454545453,125.0909090909091,48.27272727272727,173.36363636363637,114.0909090909091,40.09090909090909,154.1818181818182,103.9090909090909,46.27272727272727,150.1818181818182,126.45454545454544,46.27272727272727,172.72727272727272,23.809090874411844,92.36363636363636,24.063636259599164,70.7545464255593,23.57272702997381,72.23636419122869,,31.45454545454545,30.59659090909091,6.783983393841893,2007.4992014904694,24.09636363636364,1.0
1533571200,07-08-18 00:00,138.0,8.0,146.0,149.75,7.333333333333332,157.08333333333334,158.08333333333334,9.666666666666666,167.75,171.08333333333334,19.166666666666668,190.25,154.91666666666666,23.16666666666667,178.08333333333337,167.33333333333334,0.0,167.33333333333334,163.41666666666666,21.66666666666667,185.08333333333331,25.616667111714676,60.1833324432373,25.125000476837158,60.47500038146973,25.574999968210854,60.466666857401535,30.375,30.64583333333333,31.33333333333333,0.2358333333333333,23.399999618530273,64.30000305175781,112.8,41.0,153.8,120.4,34.0,154.4,125.5,56.1,181.6,115.8,37.2,153.0,111.7,43.7,155.4,112.9,39.0,151.9,130.1,46.7,176.8,24.630000495910643,99.9000015258789,20.899999618530273,83.80000305175781,25.139999771118163,67.16999969482421,33.35,33.4125,31.0,18.51,718.0169999999999,101.1818181818182,27.72727272727273,128.9090909090909,1.0,1.0,2.0,125.9090909090909,52.54545454545455,178.45454545454547,123.45454545454544,48.81818181818182,172.27272727272728,0.0,0.0,0.0,102.8181818181818,46.45454545454545,149.27272727272728,0.0,0.0,0.0,23.92727297002619,87.16363594748758,24.190909298983488,61.14545371315696,23.690908952192828,65.12727217240767,,31.744318181818183,22.6875,6.757207646242738,1746.9023158392279,24.25,1.0
1533657600,08-08-18 00:00,155.0,14.0,169.0,157.0,16.166666666666668,173.16666666666663,172.75,17.916666666666668,190.66666666666663,186.75,28.91666666666667,215.66666666666663,168.83333333333334,32.833333333333336,201.66666666666663,181.83333333333331,4.5,186.33333333333331,178.0,32.583333333333336,210.58333333333331,25.76666641235352,59.47499974568686,25.308332602183032,60.11666679382324,25.758333524068192,59.616667111714676,31.71354166666667,31.875,32.567708333333336,0.25833333333333336,23.466666539510086,63.64166609446208,112.8,41.0,153.8,120.4,34.0,154.4,125.5,56.1,181.6,115.8,37.2,153.0,111.7,43.7,155.4,112.9,39.0,151.9,130.1,46.7,176.8,24.630000495910643,99.9000015258789,20.899999618530273,83.80000305175781,25.139999771118163,67.16999969482421,33.35,33.4125,31.0,18.51,718.0169999999999,101.1818181818182,27.72727272727273,128.9090909090909,1.0,1.0,2.0,125.9090909090909,52.54545454545455,178.45454545454547,123.45454545454544,48.81818181818182,172.27272727272728,0.0,0.0,0.0,102.8181818181818,46.45454545454545,149.27272727272728,0.0,0.0,0.0,23.92727297002619,87.16363594748758,24.190909298983488,61.14545371315696,23.690908952192828,65.12727217240767,,31.744318181818183,22.6875,6.757207646242738,1746.9023158392279,24.25,1.0
1533744000,09-08-18 00:00,152.16666666666666,14.0,166.16666666666666,157.0,15.0,172.0,169.0,18.0,187.0,183.33333333333331,28.75,212.08333333333331,166.66666666666666,33.25,199.91666666666663,178.41666666666663,3.583333333333333,182.0,174.0,32.25,206.25,26.941666444142662,56.50833320617676,26.36666615804036,58.60000038146973,27.09999974568685,56.89166609446208,32.484375,33.229166666666664,34.026041666666664,0.2550000000000001,24.491666634877518,60.35000006357829,144.8,63.8,208.6,151.7,55.6,207.3,160.9,86.4,247.3,148.6,57.7,206.3,142.7,66.5,209.2,144.7,59.2,203.9,168.4,70.8,239.2,26.07000026702881,99.9000015258789,20.899999618530273,83.80000305175781,26.530000114440924,58.29000015258789,38.93125,38.975,34.8625,18.277,779.4780000000002,130.27272727272728,36.90909090909091,167.1818181818182,157.0,61.54545454545455,218.54545454545453,163.36363636363637,68.18181818181819,231.54545454545453,160.36363636363637,64.45454545454545,224.8181818181818,145.1818181818182,53.0,198.1818181818182,129.45454545454547,62.09090909090909,191.54545454545453,161.1818181818182,60.90909090909091,222.0909090909091,25.000000520185992,80.0909097844904,25.2272725538774,57.0,24.736363671042703,60.16363664106889,,35.82386363636363,22.6875,6.807011280191484,1755.1989455770386,25.311999999999998,1.0
1533830400,10-08-18 00:00,149.91666666666666,14.333333333333336,164.25,157.0,14.166666666666664,171.16666666666666,166.83333333333334,18.08333333333333,184.91666666666663,179.83333333333337,29.08333333333333,208.91666666666663,163.83333333333334,32.916666666666664,196.75,177.66666666666663,4.083333333333333,181.75,170.66666666666666,32.833333333333336,203.5,26.67500066757202,57.31666628519693,26.02500009536743,60.85000006357829,26.76666673024495,58.25,32.09375,32.921875,33.697916666666664,0.245,24.208333810170487,61.16666666666666,143.72727272727272,62.36363636363637,206.0909090909091,150.8181818181818,54.90909090909091,205.72727272727272,158.8181818181818,85.45454545454545,244.27272727272728,146.36363636363637,57.27272727272727,203.63636363636363,140.63636363636363,65.72727272727273,206.3636363636364,143.8181818181818,58.90909090909091,202.72727272727272,165.72727272727272,70.81818181818181,236.54545454545453,25.72727307406339,99.9000015258789,20.899999618530273,83.80000305175781,26.309090874411844,60.45454580133612,38.68181818181818,38.72159090909091,34.42613636363637,18.27181818181818,813.4390909090909,129.33333333333334,36.41666666666666,165.75,156.33333333333334,61.33333333333334,217.66666666666663,161.5,67.41666666666667,228.91666666666663,158.25,63.41666666666666,221.66666666666663,143.91666666666666,52.66666666666666,196.58333333333331,129.41666666666666,61.16666666666666,190.58333333333331,158.75,61.0,219.75,24.76666657129924,82.76666641235352,24.883333365122482,57.741666475931794,24.54999987284343,60.733333269755036,,35.119791666666664,22.6875,6.7483682062300865,1765.8871716912765,25.125,1.0
1533916800,11-08-18 00:00,147.0,14.75,161.75,157.0,13.666666666666664,170.66666666666666,163.75,18.166666666666668,181.91666666666663,175.0,29.16666666666667,204.16666666666663,160.58333333333334,32.416666666666664,193.0,176.08333333333337,4.0,180.08333333333337,166.0,32.416666666666664,198.41666666666663,26.60000038146973,57.89999993642172,25.84166622161865,63.92499923706055,26.683333237965897,59.30833371480307,32.119791666666664,32.90625,33.661458333333336,0.2283333333333333,24.158333937327072,61.47500038146973,141.7,62.1,203.8,149.2,54.2,203.4,156.3,85.0,241.3,142.8,57.0,199.8,137.8,65.1,202.9,142.7,57.9,200.6,161.8,70.6,232.4,25.60000038146973,99.9000015258789,20.899999618530273,83.80000305175781,26.20999984741211,61.289999771118154,38.6625,38.7,34.43125,18.180999999999997,843.2050000000003,126.72727272727272,36.09090909090909,162.8181818181818,155.0,60.54545454545455,215.54545454545453,157.36363636363637,67.36363636363636,224.72727272727272,154.1818181818182,63.81818181818182,218.0,140.63636363636363,53.09090909090909,193.72727272727272,127.45454545454544,61.18181818181818,188.63636363636363,153.9090909090909,61.27272727272727,215.1818181818182,24.75454521179199,83.20000110973011,24.83636370572177,58.4272724498402,24.64545440673828,61.25454503839666,,35.6875,22.6875,6.628360167136737,1745.1233454454755,25.11927272727273,1.0
